term,slug,definition,related_terms,unresolved_related_terms
Descriminalização,descriminalizacao,"Política ou ato de remover o caráter criminal de determinada conduta, embora esta possa continuar ilícita administrativamente. No contexto das drogas, **descriminalizar** o uso ou porte de cannabis significa que a pessoa flagrada com pequena quantidade para consumo pessoal não responderá por crime, não será presa ou terá antecedente criminal – em vez disso, pode estar sujeita a sanções civis ou administrativas (como advertência, multa ou encaminhamento a serviço de educação) . 38 39 Importante: descriminalizar **não** é o mesmo que **legalizar**. Com a descriminalização da maconha (como decidido pelo STF no Brasil em 2023), a substância continua ilegal e sua comercialização segue proibida, 40 41 porém o usuário não é tratado como criminoso . No Brasil, a Lei 11.343/2006 já previa que o porte para uso pessoal não levava a prisão, mas ainda era um crime (sujeito a penas alternativas). Com 6 a futura descriminalização efetiva, nem mesmo essas penas de caráter penal (como prestação de serviços) seriam aplicadas – o porte passaria a ser infração administrativa. Em suma, descriminalização visa reduzir danos sociais (encarceramento) associados ao usuário, sem criar um mercado legal.","[""Cannabis"", ""Legalização"", ""Lei 11.343/2006"", ""Maconha"", ""STF""]",[]
Dronabinol,dronabinol,"Nome farmacêutico do isômero específico do **THC** sintético utilizado medicinalmente. O dronabinol é quimicamente idêntico ao delta-9-tetrahidrocanabinol encontrado na cannabis. Foi aprovado em 1986 pela FDA (agência de saúde dos EUA) como medicamento, sob o nome comercial **Marinol**, para tratamento de náuseas e vômitos em pacientes de quimioterapia e para anorexia associada à perda de 6 peso em pacientes com AIDS . Apresenta-se geralmente em cápsulas gelatinosas contendo THC dissolvido em óleo de gergelim. No Brasil, o dronabinol não possui registro próprio, mas seu uso pode ser autorizado via importação mediante prescrição em casos autorizados pela Anvisa (antes da regulamentação de produtos de cannabis, pacientes obtinham Marinol importado). Os efeitos do dronabinol são equivalentes aos do THC natural – euforia leve, aumento de apetite, analgesia, antiemese – porém, por ser isolado (sem outros canabinoides ou terpenos), pode causar mais efeitos 7 psicoativos adversos (ansiedade, tontura) do que extratos completos equilibrados . Ainda assim, dronabinol demonstrou eficácia clínica significativa em seus usos aprovados. Ele é classificado internacionalmente como substância controlada (no Brasil, lista F2 – substâncias psicotrópicas).","[""ANVISA"", ""Ansiedade"", ""Canabinol"", ""Cannabis"", ""Dronabinol"", ""Psicoativo"", ""Quimioterapia"", ""RSO"", ""THC"", ""Terpenos""]",[]
Efeito Bifásico,Efeito Bifásico,"Termo que descreve uma resposta em duas fases opostas dependendo da dose ou concentração de uma substância. Muitos compostos, incluindo canabinoides, exibem efeito bifásico: doses baixas 9 produzem determinado efeito, enquanto doses altas podem produzir efeito contrário . Por exemplo, no caso do THC, uma dose baixa pode aliviar a ansiedade e ter efeito relaxante, ao passo que uma dose 5 elevada pode induzir ansiedade e agitação . Outro exemplo é o **THCV**, que em dose baixa atua como antagonista do receptor CB1 (reduzindo apetite), mas em dose alta torna-se agonista do CB1 (podendo 10 estimular o apetite) . Esse perfil bifásico exige cuidado na titulação de dose em tratamentos com cannabis, para otimizar benefícios e minimizar efeitos adversos.","[""Agonista"", ""Ansiedade"", ""Antagonista"", ""CB1"", ""Cannabis"", ""Efeito Bifásico"", ""RSO"", ""THC"", ""THCV"", ""Titulação""]",[]
Efeito comitiva,efeito-comitiva,"Tradução direta de **Efeito Entourage** – sinergia entre canabinoides, terpenos e flavonoides que potencializa os efeitos da planta. Ver **Efeito Entourage**.","[""Efeito Entourage"", ""Flavonoide"", ""Flavonoides"", ""Terpenos""]",[]
Efeito Entourage,efeito-entourage,"Termo que descreve a interação sinérgica entre os diversos compostos da cannabis, levando a um 42 efeito total maior do que a soma dos efeitos individuais . Na prática, significa que canabinoides, terpenos e flavonoides presentes na planta agem conjuntamente para modular os efeitos uns dos outros. Por exemplo, o **CBD** pode reduzir os efeitos colaterais psicoativos do **THC** ao mesmo tempo em 43 que ambos combinados produzem melhor analgesia do que isolados . Terpenos como mirceno, linalol e beta-cariofileno também contribuem: o mirceno tem efeito sedativo e pode aumentar a penetração de THC no cérebro; o beta-cariofileno atua como agonista do receptor CB2 (anti 44 inflamatório) . Dessa forma, uma preparação de **espectro completo** (contendo vários canabinoides e terpenos) tende a ser mais eficaz terapeuticamente do que um canabinoide isolado, conforme 45 demonstrado em estudos comparativos . O conceito de efeito entourage é central na cannabis medicinal moderna – ele justifica por que muitos pacientes respondem melhor a extratos integrais da planta do que a moléculas puras. Cunhado originalmente em 1998 por pesquisadores (Raphael Mechoulam e colegas), o termo “entourage” sugere que os componentes “coadjuvantes” da planta “escoltam” e potencializam os principais (como THC e CBD).","[""Agonista"", ""Beta-Cariofileno"", ""Beta-cariofileno"", ""CB2"", ""CBD"", ""Cannabis"", ""Cannabis Medicinal"", ""Cariofileno"", ""Efeito Entourage"", ""Espectro Completo"", ""Flavonoide"", ""Flavonoides"", ""Isolados"", ""Linalol"", ""Mirceno"", ""Psicoativo"", ""RSO"", ""Sedativo"", ""THC"", ""Terpenos""]",[]
Endocanabinoide,endocanabinoide,"São canabinoides produzidos endogenamente pelo organismo humano (e de outros animais vertebrados). Os dois endocanabinoides mais estudados são **anandamida (AEA)** e **2-AG (2- araquidonoilglicerol)** . Eles atuam como neurotransmissores “retrógrados”: são liberados pelos 46 neurônios pós-sinápticos e viajam de volta para neurônios pré-sinápticos, ligando-se aos receptores CB1/CB2 e modulando a liberação de outros neurotransmissores. A anandamida tem afinidade especial 3 pelo receptor CB1, exercendo papel na regulação de dor, humor, apetite e memória . O 2-AG é mais abundante no cérebro e ativa tanto CB1 quanto CB2, estando envolvido em neuroproteção e 47 plasticidade sináptica (aprendizado e memória) . Os endocanabinoides são rapidamente degradados por enzimas após cumprirem sua função – a FAAH decompõe a anandamida, enquanto a MAGL decompõe o 2-AG. Juntamente com seus receptores e enzimas, formam o **Sistema Endocanabinoide**. Descobertos nos anos 1990, os endocanabinoides explicam em parte por que compostos da cannabis têm efeitos tão difundidos: eles “imitam” ou modulam essas moléculas internas de sinalização.","[""2-AG"", ""AEA"", ""Anandamida"", ""CB1"", ""CB2"", ""Cannabis"", ""Endocanabinoides"", ""FAAH"", ""Neurotransmissores"", ""Sistema Endocanabinoide""]",[]
Epidiolex,epidiolex,"Nome comercial de um medicamento à base de canabidiol purificado. O **Epidiolex** foi o primeiro fármaco derivado da cannabis aprovado pelo FDA (EUA), em 2018, indicado para crises epilépticas associadas a duas formas raras e graves de epilepsia infantil: síndrome de Dravet e síndrome de 54 Lennox-Gastaut . Cada frasco de Epidiolex é uma solução oral contendo CBD praticamente puro (100 mg/mL), sem THC. Estudos clínicos demonstraram redução significativa na frequência de convulsões em crianças resistentes a tratamentos convencionais, o que levou à sua aprovação como substância 8 55 controlada de Categoria V nos EUA (baixo potencial de abuso) . No Brasil, o Epidiolex ainda não possui registro sanitário pleno, mas pacientes conseguiram acesso via importação mediante autorizações excepcionais da Anvisa, antes mesmo da disponibilização de produtos nacionais equivalentes. O sucesso do Epidiolex confirmou cientificamente a eficácia do canabidiol para epilepsias refratárias, validando o uso medicinal do CBD isolado em determinadas condições. Também abriu caminho para pesquisas de CBD em outras doenças neurológicas. Vale ressaltar: por se tratar de CBD 56 purificado, o Epidiolex não causa efeitos psicoativos nem dependência , e seus principais efeitos adversos relatados incluem sonolência, diminuição do apetite e diarreia.","[""ANVISA"", ""CBD"", ""Canabidiol"", ""Cannabis"", ""Convulsões"", ""Epidiolex"", ""Epilepsias Refratárias"", ""Indica"", ""Psicoativo"", ""RSO"", ""Sonolência"", ""Síndrome de Dravet"", ""THC""]",[]
Extratos de Cannabis,extratos-de-cannabis,"Termos que qualificam o conteúdo de canabinoides e outros compostos presentes em óleos ou extratos da cannabis: • **Extrato Full Spectrum (Espectro Completo):** contém todos os componentes naturais da planta – múltiplos canabinoides (incluindo THC, se derivado de maconha, ou vestígios se cânhamo), 57 58 terpenos, flavonoides e outros fitoquímicos . Esses extratos aproveitam o máximo do **efeito entourage**, oferecendo ação sinérgica. Ex: um óleo full spectrum de cannabis medicinal pode conter CBD majoritário, mas também pequenas quantidades de THC, CBG, CBN, etc., além de terpenos como mirceno e limoneno. Produtos de espectro completo podem ter até 0,2% de 59 THC no Brasil (conforme a RDC 327/2019) . **Extrato Broad Spectrum (Espectro Amplo):** semelhante ao full spectrum, porém com **THC** • 60 61 **removido** ou indetectável . Mantém todos os outros canabinoides e terpenos, exceto o THC. É uma opção para quem busca os benefícios do espectro completo mas não pode ou não quer ingerir THC (por restrições legais, sensibilidade ou necessidade de evitar detecção em exames toxicológicos). Um produto broad spectrum ainda proporciona parte do efeito entourage (interação entre CBD, CBG, terpenos etc.), embora possa perder alguma eficácia para certas condições onde uma mínima presença de THC faria diferença. • 58 **Extrato Isolado:** contém apenas um canabinoide isolado, geralmente o **CBD** puro . Todo o 62 63 restante (THC, outros canabinoides, terpenos) é removido no processo de purificação . Apresenta-se frequentemente em forma de pó ou cristal (no caso do isolado de CBD) ou diluído em óleo veicular. O isolado garante doses precisas do composto único e zero THC, porém carece 64 45 dos benefícios de sinergia do espectro completo . Ainda assim, pode ser útil em casos específicos – por exemplo, pacientes que respondem bem só ao CBD e não toleram nenhum THC. Em resumo, “full spectrum” mantém todo o perfil fitoquímico da cannabis; “broad spectrum” mantém tudo exceto o THC; “isolado” fornece um composto singular. A escolha entre eles depende da condição tratada, sensibilidade do paciente e aspectos legais. Estudos indicam que extratos de planta inteira tendem a ter melhor eficácia terapêutica do que isolados puros devido ao efeito conjunto dos 45 componentes .","[""Broad Spectrum"", ""CBD"", ""CBG"", ""CBN"", ""Cannabis"", ""Cannabis Medicinal"", ""Cânhamo"", ""Efeito Entourage"", ""Espectro Amplo"", ""Espectro Completo"", ""Flavonoide"", ""Flavonoides"", ""Full Spectrum"", ""Indica"", ""Isolado de CBD"", ""Isolados"", ""Limoneno"", ""Maconha"", ""Mirceno"", ""THC"", ""Terpenos""]",[]
Fitocanabinoide,fitocanabinoide,"Termo que designa qualquer canabinoide produzido naturalmente pelas plantas de cannabis, como THC, CBD, CBG, CBC e outros. Diferem dos **endocanabinoides** (produzidos pelo corpo) e dos **canabinoides sintéticos** (desenvolvidos em laboratório).","[""CBC"", ""CBD"", ""CBG"", ""Canabinoides Sintéticos"", ""Cannabis"", ""Endocanabinoide"", ""Endocanabinoides"", ""THC""]",[]
Flavonoide,flavonoide,"Grupo de compostos polifenólicos produzidos pelas plantas, inclusive pela cannabis. Os flavonoides da cannabis (às vezes chamados de **canaflavinas**, quando exclusivos da planta) contribuem para o sabor e cor, e também possuem propriedades bioativas. Na planta, flavonoides podem proteger contra radiação UV e pragas. Em humanos, eles podem atuar como antioxidantes e anti-inflamatórios. Cerca de 20 flavonoides diferentes já foram identificados na Cannabis, como canaflavina A, B e C, apigenina, quercetina, luteolina, entre outros . As canaflavinas A e B mostraram potente atividade anti 65 inflamatória em estudos preliminares (inibindo a PGE2 mais fortemente que a aspirina, por exemplo). Embora presentes em menor proporção que canabinoides e terpenos, os flavonoides possivelmente contribuem para o *entourage* conferindo benefícios adicionais. Por exemplo, a quercetina tem propriedades antivirais e anticancerígenas; a apigenina é ansiolítica suave; a orientina e vitexina (também encontradas no maracujá) podem ser sedativas leves. Assim, os flavonoides colaboram com 65 os terpenos para dar à cannabis seu **sabor característico** e agregar efeito terapêutico . Atualmente, a pesquisa de flavonoides da cannabis é incipiente comparada à de canabinoides, mas é um campo promissor.","[""Anti-inflamatório"", ""Cannabis"", ""Flavonoides"", ""Terpenos""]",[]
Full Spectrum,full-spectrum,"Extrato de **espectro completo** contendo todos os canabinoides, terpenos e flavonoides da planta, inclusive traços de THC. Ver **Extratos de Cannabis** para detalhes.","[""Cannabis"", ""Espectro Completo"", ""Extratos de Cannabis"", ""Flavonoide"", ""Flavonoides"", ""THC"", ""Terpenos""]",[]
Habeas Corpus,habeas-corpus,"No contexto canábico, refere-se ao instrumento jurídico utilizado por pacientes ou associações para obter uma autorização judicial que lhes garanta o direito de cultivar cannabis para uso medicinal **sem risco de sanção penal**. Funciona como um “salvo-conduto” concedido preventivamente pela Justiça, assegurando que a polícia e demais autoridades não poderão prender ou processar criminalmente o paciente pelo plantio de um certo número de plantas destinado ao tratamento de sua condição de 66 21 saúde . No Brasil, onde o cultivo de cannabis é ilegal pela Lei de Drogas, o habeas corpus tem sido a via encontrada para casos compassivos – pacientes com epilepsia grave, dores intratáveis, autismo, Parkinson etc. – que necessitam de óleo de cannabis e não conseguem acesso viável via importação ou produtos autorizados (devido a custo alto ou inadequação). Já há centenas de pacientes e dezenas de associações de pacientes que obtiveram decisões favoráveis de habeas corpus permitindo 67 o cultivo medicinal coletivo ou individual . Por exemplo, a Associação **ABRACE** na Paraíba opera sob salvo-conduto judicial desde 2017, cultivando cannabis e fornecendo extratos a seus associados. Em janeiro de 2024, o STJ confirmou entendimento de que **cultivar cannabis para tratamento de saúde, com laudos e indicação médica, não configura fato típico penal pela ausência de regulamentação** 68 **específica**, devendo prevalecer o direito à saúde do paciente . O habeas corpus, entretanto, não legaliza a cannabis de modo geral – é uma permissão pontual, e cada caso precisa impetrar o seu. Ainda assim, esses casos vêm pressionando por uma legislação mais ampla.","[""Cannabis"", ""Cultivo Medicinal"", ""Habeas Corpus"", ""Indica"", ""Lei de Drogas"", ""Parkinson"", ""Salvo-Conduto"", ""Óleo de Cannabis""]",[]
Haxixe,haxixe,"Produto concentrado derivado da cannabis, composto predominantemente pela **resina de cannabis** rica em canabinoides e terpenos. O haxixe tradicional é obtido separando-se e prensando-se as 69 glândulas de resina (tricomas) das inflorescências femininas da planta . Há métodos diversos de 10 preparação: um dos mais antigos é esfregar as flores frescas com as mãos e depois raspar a resina acumulada (técnica usada na Índia para produzir *charas*); outro método clássico é peneirar as flores secas coletando o pólen (tricomas secos, conhecido como *kief*) e então compactá-lo. Modernamente, usa-se também extração com gelo/água (*hash* “bubble”) ou solventes. O haxixe pode ter aspecto pastoso ou sólido, variando do marrom esverdeado ao marrom-escuro quase preto. Por ser um concentrado, contém teor muito mais alto de **THC** (e outros canabinoides) do que a planta in natura – podendo chegar a 20–60% de THC, dependendo da pureza . Como resultado, produz efeitos 70 psicoativos intensos. Tradicionalmente, o hashish foi usado em várias culturas do Oriente Médio e Ásia Central tanto recreativamente quanto medicinalmente (para analgesia, relaxamento muscular). Em contextos medicinais atuais, concentrados similares ao haxixe podem ser utilizados para pacientes que necessitam de doses altas de canabinoides em pequeno volume (por exemplo, alguns pacientes oncológicos). Vale notar que o haxixe difere de outros concentrados modernos como **BHO** (óleo extraído com butano) ou **rosin** (resina prensada a quente), mas todos compartilham a alta potência. Legalmente, o haxixe costuma ser classificado de forma semelhante à maconha, porém muitas vezes listado separadamente em convenções (a **resina de cannabis** é mencionada explicitamente na 71 Convenção Única de 1961, Listas I e IV) .","[""Cannabis"", ""Maconha"", ""Psicoativo"", ""RSO"", ""Resina de Cannabis"", ""SEC"", ""THC"", ""Terpenos"", ""Tricomas""]",[]
Homeostase,homeostase,"Estado de equilíbrio e estabilidade do meio interno do corpo, no qual as condições fisiológicas (temperatura, pH, pressão, níveis de nutrientes, etc.) são mantidas dentro de faixas adequadas à vida. Muitos sistemas biológicos, incluindo o **Sistema Endocanabinoide**, trabalham continuamente para manter a homeostase. No contexto da cannabis medicinal, diz-se que um dos papéis-chave do sistema endocanabinoide é “**modular a homeostase**” – ele atua como um orquestrador que ajusta diversos 53 processos para retornar ao equilíbrio quando alguma coisa está fora do normal . Por exemplo, se há hiperexcitação neuronal, endocanabinoides são liberados para reduzir a liberação de neurotransmissores e evitar excesso de atividade (homeostase neural); se há inflamação exagerada, a ativação de CB2 pode ajudar a suprimir a resposta imune e restaurar a normalidade (homeostase imunológica). A cannabis, ao interagir com esse sistema, pode auxiliar no reequilíbrio de sistemas desregulados, razão pela qual tem aplicações tão diversas. Em termos mais gerais, a homeostase é um princípio fundamental da biologia – muitos tratamentos alopáticos também visam restaurar a homeostase (por ex., insulina restabelece homeostase glicêmica). A diferença é que o sistema endocanabinoide age de forma difusa em vários subsistemas, por isso a cannabis pode afetar desde o humor até a resposta imunológica, sempre tendendo a normalizar funções alteradas. O conceito está relacionado à ideia de que certas doenças poderiam ser decorrentes de “deficiências endocanabinoides” subjacentes a desequilíbrios.","[""CB2"", ""Cannabis"", ""Cannabis Medicinal"", ""Endocanabinoide"", ""Endocanabinoides"", ""Neurotransmissores"", ""RSO"", ""Sistema Endocanabinoide""]",[]
Inflorescência de Cannabis,inflorescencia-de-cannabis,"As inflorescências (flores) da planta de cannabis são a parte mais rica em canabinoides e terpenos, sendo, portanto, a matéria-prima principal para uso medicinal e recreativo. Na planta fêmea não polinizada (sinsemilla), as inflorescências desenvolvem densos cachos cobertos de tricomas resinosos. Essas flores secas e curadas correspondem ao que popularmente se chama de “buds” ou **“flor** de maconha”. Legalmente, muitas regulamentações definem “cannabis” pelo conjunto das inflorescências 20 e partes frutíferas da planta, excluindo as sementes e folhas não acompanhadas das flores . As inflorescências maduras contêm tetrahidrocanabinol (THC) nas glândulas de resina, bem como CBD e outros canabinoides. Em programas de cannabis medicinal, pode-se disponibilizar a **flor in natura** para vaporização ou preparo de extratos; essa forma permite ao paciente acessar o espectro completo dos componentes. A qualidade da inflorescência depende de fatores de cultivo (genética, solo, nutrientes, iluminação) e do pós-colheita (cura adequada para desenvolver terpenos e controlar umidade). As flores de cânhamo (cultivares com \<0,3% THC) também são inflorescências, porém usadas para extração de CBD ou para chás, não tendo valor psicoativo. Em resumo, a inflorescência de cannabis é a “flor” resinosa cujo teor de canabinoides determina a potência do produto final – seja para fumar, vaporizar ou produzir óleos.","[""CBD"", ""Canabinol"", ""Cannabis"", ""Cannabis Medicinal"", ""Cultivares"", ""Cânhamo"", ""Espectro Completo"", ""Maconha"", ""Psicoativo"", ""SEC"", ""THC"", ""Terpenos"", ""Tricomas""]",[]
Isolado de CBD,isolado-de-cbd,"Forma de preparo onde apenas o canabidiol (ou outro canabinoide específico) está presente, sem qualquer outro componente da planta. O isolado de CBD geralmente vem como um pó ou cristais de alta pureza (≥99% de CBD), obtido a partir de um extrato de cannabis que passa por processos 62 63 adicionais de refino, remoção de ceras, terpenos e outros canabinoides . O resultado é CBD quase puro. Ele pode ser incorporado em óleos veiculares, cápsulas ou usado na forma pura (p. ex., cristais sublinguais). A vantagem do isolado é oferecer doses precisas de CBD sem traços de THC – importante para quem não pode ter nenhum THC no organismo (por razões legais ou de sensibilidade) 75 . Também elimina o odor/sabor de terpenos, o que pode ser desejável em algumas formulações. Em contrapartida, como mencionado no **Extrato Full/Broad/Isolado**, perde-se o efeito entourage: isolados podem ser menos eficazes para certas condições do que um extrato de espectro completo 45 equivalente . Estudos sugerem que CBD isolado tem um efeito dose-resposta em forma de sino 12 (atinge platô), enquanto extratos completos de CBD mantêm eficácia em faixa mais ampla de dosagem. Mesmo assim, isolados são úteis para pesquisas (padronização) e para pacientes que respondem bem somente ao CBD. Além de CBD, existem isolados de **THC**, **CBG** e outros canabinoides, mas estes são menos comuns comercialmente devido a restrições legais (no caso do THC) ou oferta limitada (no caso de minoritários).","[""CBD"", ""CBG"", ""Canabidiol"", ""Cannabis"", ""Efeito Entourage"", ""Espectro Completo"", ""Isolados"", ""THC"", ""Terpenos""]",[]
Isolados,isolados,"Categoria de extratos onde apenas um canabinoide (normalmente CBD) é purificado, removendo todos os demais compostos da planta. Ver **Extratos de Cannabis** > Isolado.","[""CBD"", ""Cannabis"", ""Extratos de Cannabis""]",[]
Legalização,legalizacao,"Processo de tornar legal uma atividade ou substância que antes era proibida, estabelecendo parâmetros claros em lei para sua produção, distribuição e uso. **Legalizar a cannabis** significaria criar um mercado legal regulamentado para a planta e seus derivados – definindo quem pode cultivar, em que quantidade, como será a comercialização (licenças para empresas, farmácias, clubes, etc.), qual a idade mínima para consumo, tributação, controle de qualidade, campanhas de educação e assim por diante . É diferente de **descriminalizar**: na legalização, não apenas o usuário deixa de ser 77 78 criminalizado, mas toda a cadeia produtiva é formalizada dentro da lei . Exemplos de legalização incluem o modelo do Uruguai (desde 2013, com cultivo doméstico permitido, clubes de membros e venda sob monopólio do Estado em farmácias) e de diversos estados dos EUA (onde empresas privadas licenciadas cultivam e vendem cannabis recreativa e medicinal). A legalização visa eliminar o mercado ilícito, garantir qualidade do produto, arrecadar impostos e facilitar ações de saúde pública. Há também 13 legalização apenas medicinal, na qual apenas pacientes com receita ou empresas farmacêuticas podem lidar com a cannabis – algo já visto em vários países (o Brasil, desde 2019, tem uma forma limitada de legalização medicinal de produtos de cannabis via Anvisa, porém o plantio local para terceiros segue proibido). Uma **legalização ampla no Brasil** exigiria mudança legislativa pelo Congresso, definindo um modelo de regulação da cannabis. Importante destacar: legalização não implica liberalização irrestrita – assim como o álcool é legal porém regulado, a cannabis legal seria sujeita a uma série de regras (limites de THC, locais de venda, propaganda proibida, etc.). A discussão sobre legalização costuma englobar aspectos de segurança, saúde pública, econômicos (indústria canábica) e justiça social (fim das prisões por droga).","[""ANVISA"", ""Cannabis"", ""Cultivo Doméstico"", ""Legalização"", ""RSO"", ""THC""]",[]
Marijuana,marijuana,"Termo amplamente utilizado em inglês e espanhol para se referir à cannabis, especialmente em contextos recreativos. Originalmente uma gíria de origem mexicana/espanhola (“mariguana” ou “mariguana”), o vocábulo ganhou proeminência nos EUA nos anos 1930 durante campanhas anti cannabis – autoridades adotaram “marihuana” para associar a droga aos imigrantes mexicanos e ao 80 sentimento xenófobo da época . Assim, a palavra se popularizou internacionalmente. “Marijuana” ou “marihuana” significa basicamente a mesma coisa que **maconha**: as partes secas e preparadas da planta cannabis usadas para fumar ou outros fins psicoativos. Em espanhol, os países usam *marihuana* ou *mariguana* similarmente. Atualmente, em textos científicos ou regulamentações nos EUA, é comum o uso de “**cannabis**” em vez de marijuana, para evitar conotações negativas ou imprecisas (afinal, o termo “marijuana” não distingue usos medicinais). Ainda assim, a palavra permanece muito difundida – 14 por exemplo, fala-se em “medicinal marijuana” nos EUA, “Ley de Marihuana Medicinal” em países hispanos, etc. Curiosidade: teoriza-se que “marijuana” possa derivar de combinação dos nomes “Maria” e “Juana” (equivalente a Maria Joana), mas a origem exata é incerta. Alguns acreditam que venha de uma gíria mexicana para um tipo de tabaco ou para uma intoxicação. Em português do Brasil, o termo **“marijuana”** não era comum popularmente, mas hoje é compreendido devido à influência cultural. A distinção entre “marijuana” e “hemp” (cânhamo) em contextos de língua inglesa é que hemp refere-se às variedades industriais não psicoativas, enquanto marijuana são as variedades psicoativas de cannabis.","[""Cannabis"", ""Cânhamo"", ""Maconha"", ""Psicoativo"", ""SEC""]",[]
Mevatyl,mevatyl,"Nome comercial no Brasil do medicamento **Nabiximols**, um extrato padronizado de cannabis com proporção aproximadamente 1:1 de THC e CBD. O Mevatyl foi o primeiro produto à base de cannabis 81 registrado junto à Anvisa como medicamento (registro em janeiro de 2017\) . Ele é indicado para tratamento da espasticidade moderada a grave em pacientes com **esclerose múltipla** que não 82 responderam adequadamente a outros antiespásticos . Apresenta-se em forma de spray bucal (para ser aplicado na mucosa oral), facilitando a absorção. Cada frasco de Mevatyl contém 27 mg/mL de THC e 25 mg/mL de CBD dissolvidos, além de terpenos naturais – em cada borrifada libera 2.7 mg THC \+ 2.5 mg CBD. O Mevatyl é equivalente ao Sativex (marca original produzida no Canadá/Reino Unido). Sua aprovação foi um marco, pois pela primeira vez a agência reguladora brasileira reconheceu a segurança 83 e eficácia de um derivado completo da cannabis . O uso do Mevatyl no Brasil é restrito a prescrição médica especial (receita B) e normalmente é fornecido via importação ou programas do SUS para pacientes de esclerose múltipla. Clinicamente, além de melhorar a espasticidade (rigidez muscular, espasmos), muitos pacientes relatam melhora de dores associadas e do sono. Efeitos colaterais mais comuns incluem sonolência, gosto amargo na boca e eventuais tonturas leves; a presença equilibrada de CBD atenua efeitos psicoativos do THC. O custo elevado e a burocracia ainda limitam o acesso ao Mevatyl, mas ele abriu caminho para outros produtos de cannabis no país.","[""ANVISA"", ""CBD"", ""Cannabis"", ""Esclerose Múltipla"", ""Indica"", ""Nabiximols"", ""Psicoativo"", ""Sativex"", ""Sonolência"", ""THC"", ""Terpenos""]",[]
Nabiximols,nabiximols,Nome genérico internacional do spray bucal padronizado 1:1 de THC+CBD comercializado como **Sativex** e registrado no Brasil sob o nome **Mevatyl**. Ver **Mevatyl**.,"[""CBD"", ""Mevatyl"", ""Sativex"", ""THC""]",[]
Óleo de Cannabis,oleo-de-cannabis,"Extrato oleoso concentrado obtido das flores/resina de cannabis. Tipicamente produzido por extração com solvente (como etanol, CO₂ supercrítico, óleo vegetal) das inflorescências ricas em canabinoides, seguida de purificação. O óleo resultante contém os fitocanabinoides em alta concentração junto com terpenos e outros componentes conforme o método. Apresenta aspecto viscoso, cor variando do dourado ao marrom escuro. É a forma mais comum nos tratamentos de **cannabis medicinal**, administrado via oral (gotas sublinguais) ou até tópico. No contexto brasileiro, “produto à base de cannabis” geralmente se refere a soluções de óleo com canabinoides padronizados. Segundo a RDC nº 327/2019 da Anvisa, esses produtos devem conter no máximo 0,2% de THC – só em casos paliativos 59 pode-se exceder esse teor . Assim, grande parte dos óleos de cannabis legais no Brasil são ricos em CBD (isolado ou espectro amplo) com pouco THC. O óleo de cannabis artesanal (como o famoso **“Óleo de Rick Simpson (RSO)”**) muitas vezes é full spectrum, contendo altos níveis de THC, e é usado por alguns pacientes (geralmente obtido via cultivo próprio ou associações mediante habeas corpus). Os usos medicinais do óleo englobam: controle de epilepsias, ansiedade, dores crônicas, sintomas de 15 Parkinson, espectro autista, insônia, entre outros – a dosagem é ajustada individualmente, pois cada paciente pode responder de forma diferente. Importante distinguir **óleo de cannabis** (extrato da planta) do **óleo de sementes de cânhamo** (feito das sementes, sem canabinoides relevantes). Em extratos artesanais, a concentração de THC/CBD pode variar, mas em formulações de fabricantes autorizados há garantia de concentração por ml. A **importância** do óleo de cannabis reside na possibilidade de fornecer doses altas de canabinoides sem a necessidade de fumar a planta, com efeito de longa duração e uso fácil para diversos perfis de pacientes.","[""ANVISA"", ""Ansiedade"", ""CBD"", ""Cannabis"", ""Cannabis Medicinal"", ""Cânhamo"", ""Dores Crônicas"", ""Espectro Amplo"", ""Fitocanabinoide"", ""Fitocanabinoides"", ""Full Spectrum"", ""Habeas Corpus"", ""Insônia"", ""Parkinson"", ""RSO"", ""Resina de Cannabis"", ""THC"", ""Terpenos""]",[]
